17.0.1.67 	 usmia1-bbisp-gw1.corp.apple.com.
17.0.1.73 	 usqas2-bbisp-gw1.corp.apple.com.
17.0.1.75 	 usqas3-bb-pe1.corp.apple.com.
17.0.1.68 	 usmia1-bbisp-gw2.corp.apple.com.
17.0.1.70 	 usnyc3-bbisp-gw2.corp.apple.com.
17.0.1.76 	 usqas3-bb-pe2.corp.apple.com.
17.0.1.74 	 usqas2-bbisp-gw2.corp.apple.com.
17.0.1.72 	 usprz2-bb-pe2.corp.apple.com.
17.0.1.69 	 usnyc3-bbisp-gw1.corp.apple.com.
17.0.1.71 	 usprz2-bb-pe1.corp.apple.com.
17.0.1.79 	 usrno1-bb-pe1-new.corp.apple.com.
17.0.1.82 	 usscz2-bbisp-gw2.corp.apple.com.
17.0.1.80 	 usrno1-bb-pe2-new.corp.apple.com.
17.0.1.81 	 usscz2-bbisp-gw1.corp.apple.com.
17.0.1.83 	 ussea4-bbisp-gw1.corp.apple.com.
17.0.1.84 	 ussea4-bbisp-gw2.corp.apple.com.
17.0.1.90 	 ussjc2-bbisp-gw2.corp.apple.com.
17.0.1.92 	 usuqo4-bbisp-gw2.corp.apple.com.
17.0.1.93 	 uschi6-bb-pe3.corp.apple.com.
17.0.1.91 	 usuqo4-bbisp-gw1.corp.apple.com.
17.0.1.95 	 usqas3-bb-pe3.corp.apple.com.
17.0.1.94 	 uschi6-bb-pe4.corp.apple.com.
17.0.1.96 	 usqas3-bb-pe4.corp.apple.com.
17.0.1.103 	 usprz3-bb-pe1.corp.apple.com.
17.0.1.102 	 usuqo1-bb-pe2.corp.apple.com.
17.0.1.106 	 usrno3-bb-pe2.corp.apple.com.
17.0.1.101 	 usuqo1-bb-pe1.corp.apple.com.
17.0.1.107 	 usmsc2-bb-pe1.corp.apple.com.
17.0.1.108 	 usmsc2-bb-pe2.corp.apple.com.
17.0.1.105 	 usrno3-bb-pe1.corp.apple.com.
17.0.1.104 	 usprz3-bb-pe2.corp.apple.com.
17.0.1.112 	 sgsin8-bbisp-gw2.corp.apple.com.
17.0.1.109 	 usmsc2-bb-pe3.corp.apple.com.
17.0.1.111 	 sgsin8-bbisp-gw1.corp.apple.com.
17.0.1.110 	 usmsc2-bb-pe4.corp.apple.com.
17.0.1.113 	 iedub1-bbisp-gw1.corp.apple.com.
17.0.1.119 	 frcch1-bbisp-gw1.corp.apple.com.
17.0.1.116 	 dkcph4-bbisp-gw2.corp.apple.com.
17.0.1.115 	 dkcph4-bbisp-gw1.corp.apple.com.
17.0.1.114 	 iedub1-bbisp-gw2.corp.apple.com.
17.0.1.118 	 ieork1-bbisp-gw2.corp.apple.com.
17.0.1.117 	 ieork1-bbisp-gw1.corp.apple.com.
17.0.1.120 	 frcch1-bbisp-gw2.corp.apple.com.
17.1.164.6 	 te-0-0-3.core1.an.f.man-da.net.
17.1.253.69 	 retail-wifi-cert.apple.com.
17.3.5.2 	 ipswitch.online.apple.com.
17.4.35.12 	 aws-rdmuat-mdb03-us-west-2c.apple.com.
17.4.69.39 	 supportmetrics-usw2-stage.apple.com.
17.4.69.48 	 aws-brooklyn2-workflow-usw2-cx01.apple.com.
17.4.85.43 	 aws-brooklyn2-sales-usw2-cx01.apple.com.
17.4.85.59 	 supportmetrics-usw2-stage.apple.com.
17.4.101.37 	 supportmetrics-usw2-stage.apple.com.
17.4.101.61 	 aws-brooklyn2-scheduler-usw2-cx01.apple.com.
17.4.143.168 	 aws-rdmuat-mdb01-us-west-2a.apple.com.
17.4.159.177 	 aws-rdmuat-mdb02-us-west-2b.apple.com.
17.4.199.20 	 aws-brooklyn2-scheduler-use1-cx02.apple.com.
17.4.215.7 	 aws-brooklyn2-sales-use1-cx02.apple.com.
17.4.231.10 	 aws-brooklyn2-sales-use1-cx02.apple.com.
17.8.72.9 	 apay-partner-api-lt-mdn.apple.com.
17.8.72.8 	 apay-partner-api-qa-mdn.apple.com.
17.8.72.24 	 apay-partner-api-qa-rno.apple.com.
17.8.72.25 	 apay-partner-api-lt-rno.apple.com.
17.8.128.25 	 apse2-shield-ohttp-prod.apple.com.
17.8.128.55 	 apse2-aws-release-validation-prod.apple.com.
17.8.128.93 	 apse2-shield-ohttp-prod.apple.com.
17.8.128.98 	 apse2-aws-release-validation-prod.apple.com.
17.8.128.138 	 apse2-shield-ohttp-prod.apple.com.
17.8.128.164 	 apse2-aws-release-validation-prod.apple.com.
17.8.130.25 	 locate-cld-aeuw1.apple.com.
17.8.130.58 	 euw1-shield-ohttp-prod.apple.com.
17.8.130.85 	 locate-cld-aeuw1.apple.com.
17.8.130.113 	 euw1-shield-ohttp-prod.apple.com.
17.8.130.144 	 locate-cld-aeuw1.apple.com.
17.8.130.146 	 euw1-shield-ohttp-prod.apple.com.
17.8.131.8 	 locate-cld-aapse1.apple.com.
17.8.131.36 	 apse1-shield-ohttp-prod.apple.com.
17.8.131.101 	 locate-cld-aapse1.apple.com.
17.8.131.111 	 apse1-shield-ohttp-prod.apple.com.
17.8.131.136 	 locate-cld-aapse1.apple.com.
17.8.131.170 	 apse1-shield-ohttp-prod.apple.com.
17.8.132.45 	 apne1-shield-ohttp-prod.apple.com.
17.8.132.92 	 apne1-shield-ohttp-prod.apple.com.
17.8.132.146 	 apne1-shield-ohttp-prod.apple.com.
17.8.133.7 	 ape1-shield-ohttp-prod.apple.com.
17.10.13.204 	 spoofed-src-frm-outside-apple.apple.com.
17.16.71.116 	 istrs-db01-retailweb-istdev.rtl.apple.com.
17.29.14.190 	 dns001.st02.siri.apple.com.
17.29.14.189 	 dns002.st02.siri.apple.com.
17.29.14.253 	 dns004.st02.siri.apple.com.
17.29.14.254 	 dns003.st02.siri.apple.com.
17.29.48.7 	 phoenixes-ext-ui-phoenixes-internet-dev-prod.usprz08.app.apple.com.
17.29.100.77 	 spare0006.ms20.siri.apple.com.
17.29.105.141 	 spare0005.ms20.siri.apple.com.
17.32.141.15 	 manager-a.edge.apple.com.
17.32.141.13 	 manager-c.edge.apple.com.
17.32.194.1 	 mobile-nc.apple.com.
17.32.194.5 	 iforgot-nc-s.apple.com.
17.32.194.6 	 appleid-nc-s.apple.com.
17.32.194.4 	 myaccess-mdn.apple.com.
17.32.194.12 	 aidc-nc.apple.com.
17.32.194.17 	 ma-idmsa-prod.apple.com.cn.
17.32.194.37 	 appleid-nc-s.apple.com.
17.32.194.36 	 iforgot-nc-s.apple.com.
17.32.194.35 	 myaccess-mdn.apple.com.
17.32.194.43 	 aidc-nc.apple.com.
17.32.194.70 	 kickstart.apple.com.
17.32.194.102 	 kickstart.apple.com.
17.32.202.10 	 kickstart-stage.apple.com.
17.32.202.100 	 ma-narrative-prod.apple.com.
17.32.202.101 	 ma-myaccess-vip-prod.apple.com.
17.32.202.102 	 ma-idmsac.silu.net.
17.32.202.136 	 ma-myaccess-vip-prod.apple.com.
17.32.202.134 	 kickstart-stage.apple.com.
17.32.202.135 	 ma-narrative-prod.apple.com.
17.32.202.137 	 ma-idmsac.silu.net.
17.32.208.2 	 ma-b2b-as2-alt-test.apple.com.
17.32.208.10 	 internaljobs-mdn.apple.com.
17.32.208.16 	 partner-mdn.apple.com.
17.32.208.14 	 esignint-stage.apple.com.
17.32.208.18 	 ioss-callbackservices-sh-nc5.apple.com.
17.32.208.21 	 ma-sq-carrier-prod.apple.com.
17.32.208.20 	 ma-b2b-as2-test.apple.com.
17.32.208.19 	 st-register-appattest-prod.apple.com.
17.32.208.23 	 beats-cart-mdn.apple.com.
17.32.208.24 	 ma1-ihubcarbon-ut.apple.com.
17.32.208.28 	 mdn-rvr.apple.com.
17.32.208.30 	 ma-b2bhr-mutualauth.apple.com.
17.32.208.33 	 esign-staging.apple.com.
17.32.208.31 	 ma-profilebroker.apple.com.
17.32.208.38 	 ma-deviceservices-external-uat.apple.com.
17.32.208.42 	 ma-hcl-ext.apple.com.
17.32.208.37 	 help-mb-ext-mdn.apple.com.
17.32.208.40 	 ma-miadev-kube-stage.apple.com.
17.32.208.39 	 ma-deviceservices-external.apple.com.
17.32.208.51 	 ma-mns-stage.apple.com.
17.32.208.49 	 ma-profilebroker-stage.apple.com.
17.32.208.50 	 ma-project-silver-blobby-prod.apple.com.
17.32.208.52 	 corplcms-ads-int-mdn.apple.com.
17.32.208.54 	 sb.apple.com.
17.32.208.61 	 ma-careerexperience-prod.apple.com.
17.32.208.60 	 ma-mailnotifications.apple.com.
17.32.208.67 	 ma-employee-fitness-prod.apple.com.
17.32.208.68 	 ma-servicemilestones-prod.apple.com.
17.32.208.69 	 ma-response-prod.apple.com.
17.32.208.66 	 ma-fitnessassistance-prod.apple.com.
17.32.208.70 	 ma-transporter-secure-stage.apple.com.
17.32.208.102 	 beats-cart-dr.apple.com.
17.32.208.104 	 shield-stage.apple.com.
17.32.208.136 	 voyager-dr.apple.com.
17.32.208.139 	 acc-ipt-sh.apple.com.
17.32.208.137 	 atlaslms-sh-mdn.apple.com.
17.32.208.135 	 hybridtex-uat.apple.com.
17.32.208.141 	 caffemacs-aa1-uat-cert.apple.com.
17.32.208.140 	 ma-transporter-prod.apple.com.
17.32.208.138 	 retailis-mdn.apple.com.
17.32.208.145 	 ma-navigator-cert.apple.com.
17.32.208.144 	 caffemacs-aa2-uat-alt.apple.com.
17.32.208.143 	 caffemacs-aa1-uat-alt-cert.apple.com.
17.32.208.146 	 partner-relay-int-dr.apple.com.
17.32.208.142 	 apay-partner-services-stage-ma.apple.com.
17.32.208.147 	 caffemacs-hc-mdn.apple.com.
17.32.208.150 	 okapi-services-mdn.apple.com.
17.32.208.152 	 iossetup.apple.com.
17.32.208.155 	 esign-prod-mdn.apple.com.
17.32.208.154 	 esign-internal-mdn.apple.com.
17.32.208.157 	 sa-fcd-mdn.apple.com.
17.32.208.158 	 caffemacs-hc-alt-mdn.apple.com.
17.32.208.159 	 ma-nimbus-prod.apple.com.
17.32.208.160 	 rsa-fsi-partner-stage-mdn.apple.com.
17.32.208.161 	 rsa-fsi-installment-stage-mdn.apple.com.
17.32.208.162 	 ma-instapigeon-prod.apple.com.
17.32.208.164 	 servicing-api-cert-card.apple.com.
17.32.208.165 	 edms-dr.apple.com.
17.32.208.178 	 ma-ihuboxygen.apple.com.
17.32.208.177 	 ma-slc-registration-dr.apple.com.
17.32.208.175 	 ma-ihuboxygen-ut.apple.com.
17.32.208.174 	 ihuboxygen-it.apple.com.
17.32.208.176 	 sa-fcd-mdn.apple.com.
17.32.208.180 	 ioss-callbackservices-sh-nc4.apple.com.
17.32.208.181 	 facilities-dr.apple.com.
17.32.208.182 	 fmdsp-mdn.apple.com.
17.32.208.187 	 ma-sq-device.apple.com.
17.32.208.188 	 acam-mdn.apple.com.
17.32.208.183 	 radar-portal-svc-ext-mdn.apple.com.
17.32.208.190 	 st-register-development-appattest-prod.apple.com.
17.32.208.194 	 login-partner-connect-mdn.apple.com.
17.32.208.185 	 ma-payments-upi-prod.apple.com.
17.32.208.192 	 st-data-development-appattest-prod.apple.com.
17.32.208.186 	 acaminternal-mdn.apple.com.
17.32.208.189 	 webgmacc-mdn.apple.com.
17.32.208.196 	 ma-b2b-carbon-punchout-test.apple.com.
17.32.208.193 	 afsweb-mdn.apple.com.
17.32.208.195 	 ma-b2b-legacy-test.apple.com.
17.32.208.191 	 st-data-appattest-prod.apple.com.
17.32.208.198 	 ma-b2b-mutualauth-test.apple.com.
17.32.208.197 	 ma-b2b-carbon-as2-test.apple.com.
17.32.208.200 	 ma-b2b-as2.apple.com.
17.32.208.201 	 ma-b2b-as2-alt.apple.com.
17.32.208.199 	 ma-b2b-punchout-test.apple.com.
17.32.208.204 	 ma-b2b-mutualauth.apple.com.
17.32.208.207 	 ma-salesradar-prod.apple.com.
17.32.208.202 	 ma-b2b-punchout.apple.com.
17.32.208.203 	 ma-b2b-legacy.apple.com.
17.32.208.209 	 ma-sq-carrier-stage.apple.com.
17.32.208.211 	 tula-mdn.apple.com.
17.32.208.205 	 lists.macosforge.org.
17.32.208.210 	 mdn-mysalescomp-external.apple.com.
17.32.208.214 	 presidiooos-dr.apple.com.
17.32.208.216 	 hct-proxy.apple.com.
17.32.208.222 	 portalplus.apple.com.
17.32.208.215 	 ma-hct-uat-proxy.apple.com.
17.32.208.220 	 amft-stage.apple.com.
17.32.208.219 	 ma-ds-aquila.apple.com.
17.32.208.217 	 casis-mdn.apple.com.
17.32.208.223 	 portalplus-api.apple.com.
17.32.208.225 	 partneranalytics-dr.apple.com.
17.32.208.224 	 hybridtex.apple.com.
17.32.208.234 	 ma-futurist-prod.apple.com.
17.32.208.231 	 inspections-mobile-prd.apple.com.
17.32.208.232 	 alio.apple.com.
17.32.208.233 	 ma-ds-cyc-external.apple.com.
17.32.208.226 	 ma-eatp-prod.apple.com.
17.32.208.230 	 ma-covid-vaccination-status-prod.apple.com.
17.32.208.237 	 ma-p2-u-prod.itunes.apple.com.
17.32.208.236 	 ma-storebuilder.apple.com.
17.32.208.235 	 ma-button-prod.apple.com.
17.32.208.242 	 unibox-stg-mdn.apple.com.
17.32.208.243 	 ioss-callbackservices-sh-qa4.apple.com.
17.32.208.239 	 ma1-ihubcarbon-it.apple.com.
17.32.208.240 	 apay-partner-services-nc.apple.com.
17.32.208.244 	 ioss-callbackservices-sh-qa5.apple.com.
17.32.208.245 	 myfocus-mdn.apple.com.
17.32.208.246 	 ma-itunesu-prod.itunes.apple.com.
17.32.208.250 	 hraus-mdn.apple.com.
17.32.208.249 	 validation-mdn.apple.com.
17.32.208.251 	 saluto-mdn.apple.com.
17.32.208.253 	 workday-apple1-test-mdn.apple.com.
17.32.210.10 	 internaljobs-mdn.apple.com.
17.32.210.103 	 shield-asa-stage.apple.com.
17.32.210.104 	 shield-stage.apple.com.
17.32.210.102 	 beats-cart-dr.apple.com.
17.32.210.135 	 voyager-int-dr.apple.com.
17.32.210.136 	 voyager-dr.apple.com.
17.32.210.138 	 retailis-mdn.apple.com.
17.32.210.139 	 acc-ipt-sh.apple.com.
17.32.210.137 	 atlaslms-sh-mdn.apple.com.
17.32.213.19 	 dbi3cs3as-mdn.apple.com.
17.32.213.18 	 dbi3cs2as-mdn.apple.com.
17.32.213.60 	 dbi3cs5as-mdn.apple.com.
17.32.213.61 	 dbi3cs4as-mdn.apple.com.
17.32.213.62 	 dbi3cs1as-mdn.apple.com.
17.32.214.4 	 retailcomms-mdn.apple.com.
17.32.214.2 	 mfi-prod-mdn.apple.com.
17.32.214.1 	 survey-sh-mdn-8pm.apple.com.
17.32.214.5 	 salesinventoryreporting-uat.apple.com.
17.32.214.8 	 afsweb-stage.apple.com.
17.32.214.7 	 caffemacs-cert-mdn.apple.com.
17.32.214.6 	 caffemacs-mdn.apple.com.
17.32.214.9 	 ats-maintenance-mdn.apple.com.
17.32.214.14 	 ma-sapportal-snc.sap.apple.com.
17.32.214.10 	 jobs-mdn-8pm.apple.com.
17.32.214.15 	 ma-fderegp-8pm.apple.com.
17.32.214.16 	 runnerbridge-mdn-8pm.apple.com.
17.32.214.20 	 ma-swdl-prod.apple.com.
17.32.214.13 	 rsvp-mdn-8pm.apple.com.
17.32.214.12 	 ats-backgroundchk-mdn-8pm.apple.com.
17.32.214.19 	 ma-b2bedi-b.apple.com.
17.32.214.17 	 amft-mdn.apple.com.
17.32.214.18 	 ma-b2bedi-a.apple.com.
17.32.214.23 	 seedsales-ext-qa.apple.com.
17.32.214.26 	 ligerexternal-service-mdn.apple.com.
17.32.214.27 	 sauth-external-mdn.apple.com.
17.32.214.29 	 itunesmusicnotes-dr.apple.com.
17.32.214.32 	 runnercbridge-mdn-8pm.apple.com.
17.32.214.47 	 survey-sh-mdn.apple.com.
17.32.214.105 	 jobs-ma.apple.com.
17.32.214.103 	 rsvp-mdn.apple.com.
17.32.214.110 	 mdn-itranslate01-prod.apple.com.
17.32.214.114 	 columbo-event-ext-mdn.apple.com.
17.32.214.111 	 ma-sapepa-ext-prd.sap.apple.com.
17.32.214.109 	 ma-hobbitliveon-blob-stage.apple.com.
17.32.214.113 	 ws01-mdn.apple.com.
17.32.214.117 	 ma-sapslc-ext-prd.sap.apple.com.
17.32.214.118 	 ma-saptms-ext-prd.sap.apple.com.
17.32.214.115 	 ma-ecommerce.apple.com.
17.32.214.119 	 partner-connect-mdn.apple.com.
17.32.214.112 	 ma-sapem-ext-prd.sap.apple.com.
17.32.214.116 	 ma-sapep-ext.sap.apple.com.
17.32.214.125 	 ioss-callbackservices-sh-maint.apple.com.
17.32.214.126 	 ioss-callbackservices-sh-it.apple.com.
17.32.214.124 	 time-utc-stg.apple.com.
17.32.214.123 	 ma-sq-device-stage.apple.com.
17.32.214.122 	 ams-ma.apple.com.
17.32.214.121 	 portal-ma.apple.com.
17.32.214.128 	 developer-mdn.apple.com.
17.32.214.129 	 acmdm.apple.com.
17.32.214.127 	 supportforms-mdn.apple.com.
17.32.214.137 	 salesinventoryreporting-dr.apple.com.
17.32.214.136 	 wfm-central-service-stage.apple.com.
17.32.214.131 	 hybris-ext-dr.apple.com.
17.32.214.140 	 caffemacs-aa1-uat-alt.apple.com.
17.32.214.133 	 login-partner-connect-mdn-uat.apple.com.
17.32.214.134 	 developerservices3-mdn.apple.com.
17.32.214.135 	 wfm-central-service-mdn.apple.com.
17.32.214.138 	 developerservices2-mdn.apple.com.
17.32.214.139 	 developerservices1-mdn.apple.com.
17.32.214.141 	 caffemacs-aa2-uat-alt-cert.apple.com.
17.32.214.142 	 ma-mia-dev-stage.apple.com.
17.32.214.146 	 sa-fcd-pilot-mdn.apple.com.
17.32.214.144 	 caffemacs-aa2-uat-alt-hc.apple.com.
17.32.214.147 	 ma-wwdrkit-prod.apple.com.
17.32.214.145 	 presidio-dr.apple.com.
17.32.214.148 	 ma-ipcdn-prod.apple.com.
17.32.214.151 	 usersupportapi-mdn.apple.com.
17.32.214.150 	 manage.apple.com.
17.32.214.154 	 tango-us.apple.com.
17.32.214.143 	 caffemacs-aa1-uat-alt-hc.apple.com.
17.32.214.156 	 nc-servicing-api-card.apple.com.
17.32.214.152 	 tango-shield-stage.apple.com.
17.32.214.155 	 reportingitc2-service-mdn-stg.apple.com.
17.32.214.158 	 reportingitc2-service-mdn.apple.com.
17.32.214.163 	 origin-devforums-mdn.apple.com.
17.32.214.159 	 api-partner-connect-mdn.apple.com.
17.32.214.165 	 careers-mdn.apple.com.
17.32.214.167 	 radar-mdn.apple.com.
17.32.214.162 	 dami-facts-shield.apple.com.
17.32.214.168 	 ma-partner-resources.apple.com.
17.32.214.169 	 ma-albert-prod.apple.com.
17.32.214.172 	 getsupport-pilot-mdn.apple.com.
17.32.214.173 	 getsupport-mdn.apple.com.
17.32.214.170 	 eppfriend.apple.com.
17.32.214.176 	 connect2-mdn.apple.com.
17.32.214.175 	 ma-swa-golden-gatway.apple.com.
17.32.214.177 	 partners-developer-mdn.apple.com.
17.32.214.184 	 ma-inclusionatwork-prod.apple.com.
17.32.215.7 	 ats-maintenance-mdn.apple.com.
17.32.215.14 	 salesinventoryreporting-mdn.apple.com.
17.32.215.106 	 jobs-ma.apple.com.
17.32.215.124 	 ma-rdm-prod.apple.com.
17.32.215.125 	 ma-rdm-prod.apple.com.
17.32.215.134 	 rpgmdn-sh.apple.com.
17.32.216.7 	 ma4-bomgar-lapp03.apple.com.
17.32.216.8 	 remoteadvisor-mdn.apple.com.
17.32.216.6 	 ma4-bomgar-lapp02.apple.com.
17.32.216.5 	 ma4-bomgar-lapp01.apple.com.
17.32.218.2 	 activateiphone10.apple.com.
17.32.218.1 	 activateiphone8.apple.com.
17.32.218.4 	 buyiphone10.apple.com.
17.32.218.5 	 nc-iphonesys-static.ips.apple.com.
17.32.218.3 	 buyiphone8.apple.com.
17.32.219.5 	 nc-iphonesys-static.ips.apple.com.
17.32.219.3 	 buyiphone8.apple.com.
17.32.219.4 	 buyiphone10.apple.com.
17.32.220.10 	 nc1-origin.commerce.apple.com.
17.32.220.122 	 sh-mdn-aries.apple.com.
17.32.220.125 	 chat-nc1.mmap-shield.apple.com.
17.32.220.129 	 nc1-origin.mobileapp.apple.com.
17.32.220.127 	 secure2.mobileapp.apple.com.
17.32.220.168 	 sh-mdn-secure.store.apple.com.
17.32.220.169 	 sh-mdn-secure.epp.apple.com.
17.32.220.174 	 sh-mdn-epp.apple.com.
17.32.220.178 	 sh-mdn-store.apple.com.
17.32.220.182 	 sh-mdn-secure2.store.apple.com.
17.32.220.180 	 sh-mdn-as-images.apple.com.
17.32.220.185 	 sh-mdn-secure2.epp.apple.com.
17.32.220.188 	 sh-mdn-xml-origin-store.apple.com.
17.32.220.189 	 sh-mdn-aries-assets.apple.com.
17.32.220.187 	 sh-mdn-xml-origin.apple.com.
17.32.222.242 	 mx-in-mdn.apple.com.
